AGV,Action,TPID,SolveSeq,SolveResult
959,Reserve,2569,00001928,false
960,Reserve,2372,00001929,false
963,Release,2802
964,Reserve,4094,00001930,false
966,Reserve,3666,00001931,false
967,Reserve,4628,00001932,false
968,Reserve,3669,00001933,false
951,Reserve,5038,00001934,false
954,Reserve,4901,00001935,false
953,Reserve,2146,00001936,false
952,Reserve,5066,00001937,false
955,Reserve,4895,00001938,false
956,Reserve,3051,00001939,false
957,Reserve,3156,00001940,false
959,Reserve,2569,00001941,false
960,Reserve,2372,00001942,false
964,Reserve,4094,00001943,false
966,Reserve,3666,00001944,false
967,Reserve,4628,00001945,false
968,Reserve,3669,00001946,false
951,Reserve,5038,00001947,false
954,Reserve,4901,00001948,false
953,Reserve,2146,00001949,false
952,Reserve,5066,00001950,false
955,Reserve,4895,00001951,false
956,Reserve,3051,00001952,false
957,Reserve,3156,00001953,false
957,Release,3147
959,Reserve,2569,00001954,false
960,Reserve,2372,00001955,false
964,Reserve,4094,00001956,false
965,Reserve,1899,NotCross,true
965,Reserve,2103,00001957,false
966,Reserve,3666,00001958,false
967,Reserve,4628,00001959,false
968,Reserve,3669,00001960,false
951,Reserve,5038,00001961,false
954,Reserve,4901,00001962,false
953,Reserve,2146,00001963,false
952,Reserve,5066,00001964,false
955,Reserve,4895,00001965,false
956,Reserve,3051,00001966,false
957,Reserve,3156,00001967,false
959,Reserve,2569,00001968,false
960,Reserve,2372,00001969,false
963,Release,2545
964,Reserve,4094,00001970,false
965,Reserve,2103,00001971,false
966,Reserve,3666,00001972,false
967,Reserve,4628,00001973,false
968,Reserve,3669,00001974,false
951,Reserve,5038,00001975,false
954,Reserve,4901,00001976,false
953,Reserve,2146,00001977,false
952,Reserve,5066,00001978,false
955,Reserve,4895,00001979,false
956,Reserve,3051,00001980,false
957,Reserve,3156,00001981,false
959,Reserve,2569,00001982,false
960,Reserve,2372,00001983,false
963,Release,2288
964,Reserve,4094,00001984,false
965,Reserve,2103,00001985,false
966,Reserve,3666,00001986,false
967,Reserve,4628,00001987,false
968,Reserve,3669,00001988,false
951,Reserve,5038,00001989,false
954,Reserve,4901,00001990,false
953,Reserve,2146,00001991,false
952,Reserve,5066,00001992,false
955,Reserve,4895,00001993,false
956,Reserve,3051,00001994,false
957,Reserve,3156,00001995,false
958,Reserve,5293,NotCross,true
959,Reserve,2569,00001996,false
960,Reserve,2372,00001997,false
964,Reserve,4094,00001998,false
965,Reserve,2103,00001999,false
966,Reserve,3666,00002000,false
967,Reserve,4628,00002001,false
968,Reserve,3669,00002002,false
951,Reserve,5038,00002003,false
